Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,N_Muertos,N_Graves,N_Leves,Hora_Real,Fuera_o_Interseccion
210,1,2005030000153,1,6,28,3,2,1,2,CV-83,0,0,0,0,1,5,2,2,3,3,2,1,1,1,1,1,5,6,4,1,1,1,9,14,1,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,693559.046,4258778.596,384.44,Cob,9515,0,1,0,8,6
214,1,2005030000175,1,6,23,4,4,1,2,CV-865,2.5,2,5,1,1,5,3,2,3,3,2,1,1,1,1,1,2,2,3,1,1,1,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,67,NaN,60,NaN,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,711168.214,4232256.86,-18.139,Cob,14160,0,0,1,12,6
218,1,2005030000177,1,6,22,4,3,1,4,CV-95,13.1,13,1,0,1,5,3,2,3,3,2,1,1,1,2,1,1,4,3,1,1,1,9,14,1,1,1,NaN,1,5,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,690595.648,4210670.451,64.072,Cob,12125,0,0,2,13,6
219,1,2005030000184,1,6,28,1,2,1,1,CV-700,18.6,18,6,1,1,5,2,2,3,1,2,1,1,1,1,1,7,7,5,1,5,1,9,14,3,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,67,NaN,60,NaN,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,744308.624,4303296.621,173.219,Cob,2862,0,0,1,1,1
226,1,2005030000206,1,6,30,6,4,1,2,CV-91,4.8,4,8,0,1,5,3,2,3,4,2,1,2,2,2,2,7,7,8,1,1,1,9,14,3,1,1,NaN,1,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,685670.574,4218230.018,-12.997,Sec,13355,0,0,1,19,1
227,1,2005030000210,1,6,13,5,1,4,1,CV-95,15.4,15,4,0,1,5,2,2,2,3,2,1,1,1,2,2,7,7,8,1,1,1,9,14,2,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,NaN,51,50,NaN,1,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,691935.411,4208961.281,48.79,Pri,10066,0,0,1,16,1
230,1,2005030000221,1,7,1,3,5,1,2,CV-95,5,5,0,1,1,5,3,2,3,3,2,1,2,2,1,1,2,1,2,1,1,1,9,14,1,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,697429.643,4205484.402,14.311,Cob,13961,0,0,2,9,7
231,1,2005030000224,1,7,3,4,7,3,1,CV-805,11,11,0,1,1,5,3,2,3,4,2,1,1,2,1,1,7,7,8,1,1,1,2,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,53,50,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,709362.269,4275487.787,631.125,Cob,1960,0,1,0,13,4
237,1,2005030000252,1,7,5,3,2,1,1,CV-920,3,3,0,1,1,5,2,3,3,3,2,1,1,1,2,2,7,7,8,1,1,1,9,14,2,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,NaN,61,60,NaN,1,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,702539.135,4219828.312,-23.578,Pri,7582,0,1,0,8,1
239,1,2005030000258,1,7,3,6,7,3,2,CV-920,2.6,2,6,1,1,5,2,2,3,3,2,1,1,2,1,1,7,7,8,1,1,1,9,14,1,1,3,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,702930.67,4219895.92,-23.27,Pri,7582,0,0,2,18,1
244,1,2005030000270,1,7,4,6,1,4,2,CV-945,1,1,0,0,1,5,2,3,3,3,2,1,1,1,2,2,7,7,8,1,1,1,9,14,3,1,1,NaN,1,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,699856.207,4211770.701,-22.844,Sec,12803,0,0,7,19,1
159,1,2005030000289,1,7,8,6,5,1,2,CV-773,6.6,6,6,1,1,5,2,3,3,1,2,1,2,2,1,1,7,7,8,3,1,4,9,14,1,1,1,NaN,3,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,725030.986,4262182.139,275.311,Cob,3853,0,0,1,17,3
161,1,2005030000294,1,7,10,6,7,3,1,CV-835,4.6,4,6,0,1,5,2,2,3,3,1,1,1,1,1,1,7,7,8,1,5,1,9,14,1,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,66,NaN,60,NaN,1,4,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,691364.86,4252791.481,325.633,Sec,3578,0,0,1,21,1
168,1,2005030000304,1,7,10,6,7,3,3,CV-91,17.1,17,1,0,1,5,3,2,3,3,2,1,1,1,2,2,7,7,8,1,1,1,9,14,3,1,1,NaN,1,1,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,697285.337,4219324.575,-20.387,Cob,11370,0,2,3,18,2
169,1,2005030000305,1,7,9,1,6,2,1,CV-905,4,4,0,0,1,5,3,2,3,3,2,1,1,1,2,2,7,7,8,1,5,1,9,14,3,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,66,NaN,60,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,700274.205,4212898.164,-19.751,Cob,29819,0,1,1,0,1
177,1,2005030000313,1,7,8,4,5,1,2,CV-83,3.6,3,6,0,1,5,3,2,3,3,2,1,1,2,1,1,7,7,8,1,1,4,9,14,3,1,1,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,690714.108,4257484.508,314.964,Cob,9515,0,0,3,12,1
