Id,Ano,Numero_Accidente,Provincia,Mes,Dia,Hora,Dia_Semana,Tipo_Dia,Vehiculos_Implicados,Carretera,Pk,Km,Hm,Sentido,Zona,Tipo_Via,Anchura_Calzada,Anchura_Carril,Marcas_Viales,Arcen,Arcen_Pavimentado,Mediana,Barrera_Seguridad,Paneles_Direccionales,Hitos_Arista,Captafaros,Interseccion_Tipo,Interseccion_Acondicionamiento,Prioridad_Regulada_por,Superficie,Luminosidad,Factores_Atmosfericos,Visibilidad_Restringida_por,Otras_Circunstancias,Senalizacion_Peligro,Aceras,Arboles,Arboles_Metros_Calzada,Visibilidad_Senalizacion_Vertical,Colision_Vehiculos_Marcha,Colision_Vehiculo_Obstaculo_1,Colision_Vehiculo_Obstaculo_2,Atropello_1,Atropello_2,Vuelco_1,Vuelco_2,Salida_Sin_Colision,Salida_Con_Colision,Lado_Salida,Otro,Circulacion,Circulacion_Medidas_Especiales,Distraccion,Inexperiencia_Conductor,Alcohol_Drogas,Cansancio_Sueno,Enfermedad,Velocidad_Inadecuada,Infraccion_Norma_Circulacion,Estado_Condicion_Via,Estado_Condicion_Senalizacion,Tramo_Obras,Mal_Estado_Vehiculo,Averia_Mecanica,Meteorologia_Adversa,Irrupcion_Animal,Circular_Sentido_Contrario,Otro_Factor,Sin_Opinion_Definida,Pendiente,Curvatura,Peralte,GPS_x,GPS_y,GPS_z,Tipo_Est,IMD,Hora_Real,Fuera_o_Interseccion
15960,5,2009120000660,2,3,28,6,6,2,1,CV-195,12.5,12,5,1,1,5,3,2,3,1,2,1,1,2,1,1,7,7,8,3,5,4,9,14,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,65,NaN,60,NaN,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,712949.772,4441682.021,537.138,Pri,816,22,5
10871,3,2007460008946,3,12,23,5,7,3,1,CV-590,49.8,49,8,0,1,5,2,2,3,3,2,1,2,2,2,2,7,7,8,3,1,5,9,14,3,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,55,NaN,50,NaN,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,701029.038,4317979.113,263.885,Cob,7020,16,1
12902,4,2008120002634,2,12,29,6,1,4,3,CV-10,5.4,5,4,1,1,5,3,2,3,4,2,2,2,1,2,1,7,7,8,3,5,4,9,14,3,1,1,NaN,1,NaN,30,32,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,772478.551,4485767.555,304.844,Sec,37086,20,1
15328,5,2009030001851,1,7,19,2,7,3,1,CV-775,22.3,22,3,0,1,5,2,3,3,2,1,1,1,1,1,1,7,7,8,1,5,1,9,14,2,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,NaN,62,60,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,733706.289,4273571.913,361.493,Cob,280,5,2
8410,3,2007120000547,2,4,6,3,5,3,1,CV-10,33.5,33,5,1,1,2,3,2,3,4,2,2,1,1,1,1,7,7,8,3,1,4,9,4,1,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,52,50,NaN,1,4,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,762462.227,4462469.303,220.966,Cob,15686,9,3
9864,3,2007460004375,3,6,13,6,3,1,2,CV-40,18.1,18,1,1,1,2,3,2,3,4,2,2,2,1,2,2,7,7,8,1,1,1,5,14,3,1,3,NaN,2,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,711524.799,4313660.856,207.182,Cob,23500,19,2
4851,2,2006460003095,3,3,5,3,7,3,1,CV-50,6.9,6,9,1,1,5,3,2,3,3,2,1,1,2,2,1,7,7,8,3,1,8,9,14,1,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,64,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,704139.162,4382980.468,90.309,Cob,12744,10,5
19942,6,2010460004482,3,8,10,3,2,1,1,CV-245,15.5,15,5,0,2,5,2,3,2,1,2,1,1,1,1,1,1,1,8,1,1,1,9,14,3,1,1,NaN,1,NaN,NaN,,21,21,NaN,,NaN,NaN,NaN,NaN,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,696780.516,4407895.653,748.612,Cob,1482,10,7
1947,1,2005460002292,3,11,25,3,5,1,4,CV-407,2.5,2,5,0,1,5,3,2,3,3,2,1,1,1,1,1,7,7,8,1,1,1,9,14,2,1,1,NaN,1,5,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,723282.977,4368527.513,-0.456,Cob,10299,8,1
10933,4,2008030000030,1,1,3,6,4,1,1,CV-904,5.5,5,5,0,1,5,3,2,3,3,2,1,2,2,2,1,7,7,5,1,5,1,9,14,1,1,3,NaN,2,NaN,NaN,,21,21,NaN,,NaN,NaN,NaN,NaN,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,692044.733,4228632.812,-15.608,Cob,4764,21,1
9333,3,2007460002381,3,3,10,2,6,2,3,CV-35,12.5,12,5,1,1,2,3,2,3,1,2,2,2,1,2,2,7,7,8,1,5,1,9,8,1,1,3,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,661600.094,4420410.72,886.686,Per,76000,6,1
11283,4,2008030000873,1,4,4,6,5,1,1,CV-825,1.8,1,8,1,1,5,2,3,3,3,2,1,1,1,1,1,7,7,5,1,5,1,9,14,3,1,1,NaN,1,NaN,NaN,,NaN,,NaN,,NaN,51,50,NaN,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,700844.493,4253222.384,239.933,Sec,4601,21,1
7107,3,2007030001287,1,5,4,6,5,1,1,CV-905,6.8,6,8,0,1,5,2,3,3,3,2,2,2,2,2,1,7,7,8,1,3,1,9,14,3,1,3,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,51,50,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,701701.897,4210703.67,-15.131,Cob,30384,20,2
3921,2,2006120000403,2,3,5,1,7,3,1,CV-20,7.2,7,2,1,1,5,3,2,3,1,2,2,1,1,1,1,5,3,4,1,3,1,2,14,1,2,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,63,60,NaN,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,707182.541,4441289.594,581.788,Pri,18602,1,7
9540,3,2007460003235,3,4,19,6,4,1,2,CV-403,0.1,0,1,1,1,5,2,2,3,3,2,1,1,2,2,2,5,1,8,1,1,1,9,14,3,1,1,NaN,1,3,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,719164.73,4369207.985,23.651,Cob,17537,17,6
607,1,2005030001656,1,11,19,6,6,2,2,CV-950,3.8,3,8,0,1,5,2,3,3,3,2,1,2,2,1,1,7,7,8,1,1,1,9,14,1,1,1,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,687310.779,4211710.642,81.721,Cob,482,17,2
2619,2,2006030001366,1,4,26,3,3,1,1,CV-83,14,14,0,1,1,5,3,2,3,4,2,1,1,1,1,1,7,7,8,1,1,1,9,14,3,1,1,NaN,2,NaN,NaN,,NaN,,NaN,,NaN,64,60,NaN,1,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,679224.888,4254836.231,497.379,Cob,6039,8,1
5824,2,2006460008200,3,9,16,2,6,2,1,CV-50,4.9,4,9,0,1,5,3,2,3,3,2,1,1,1,2,1,7,7,8,1,5,1,4,14,3,1,3,NaN,1,NaN,NaN,,NaN,,NaN,,NaN,62,60,NaN,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,734367.338,4327679.997,9.44,Sec,16705,5,1
747,1,2005030001978,1,12,16,6,5,1,1,CV-905,5.8,5,8,0,1,5,2,2,3,3,2,2,1,1,2,2,7,7,8,1,4,1,9,14,1,1,1,NaN,1,NaN,NaN,,21,21,NaN,,NaN,NaN,NaN,NaN,2,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,701026.507,4211411.435,-8.552,Cob,34680,19,1
1976,1,2005460002355,3,12,4,1,7,3,2,CV-35,4.8,4,8,1,1,2,3,2,3,3,2,2,2,1,2,2,7,7,8,1,3,1,9,14,2,1,1,NaN,1,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,655525.386,4422910.006,940.595,Per,124800,0,1
4841,2,2006460003037,3,3,2,3,4,1,3,CV-35,8.1,8,1,0,1,2,3,2,3,4,2,2,2,1,2,2,7,7,5,1,1,1,9,14,3,1,3,NaN,2,5,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,2,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,718078.445,4380665.564,90.389,Per,91900,9,1
9716,3,2007460003802,3,5,17,4,4,1,4,CV-50,6,6,0,1,1,5,2,2,3,3,2,1,1,1,2,1,1,6,8,1,1,1,2,14,3,1,1,NaN,1,4,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,704346.475,4383833.58,81.38,Sec,9803,12,7
15810,5,2009030003594,1,12,27,6,7,3,2,CV-865,5.9,5,9,1,1,5,3,2,3,4,2,1,1,1,2,2,6,6,3,1,5,1,9,14,1,1,3,NaN,2,2,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,708558.25,4234335.071,-1.843,Cob,13788,18,6
